content_domain,content_id,role_framing,surface_paraphrase,language_register,is_multi_turn,prompt
factual_recall,fr2,direct_question,syntactic,formal,False,Could you please tell me: Japan's capital is which city?
factual_recall,fr2,direct_question,syntactic,casual,False,japan's capital is which city
factual_recall,fr2,direct_question,syntactic,instruction,False,Identify the city that serves as Japan's capital.
factual_recall,fr2,fill_blank,canonical,formal,False,Could you complete the following: The capital of Japan is ___.
factual_recall,fr2,fill_blank,canonical,casual,False,fill in: the capital of japan is ___.
factual_recall,fr2,fill_blank,canonical,instruction,False,Complete: The capital of Japan is ___.
factual_recall,fr2,fill_blank,lexical,formal,False,Could you complete the following: The capital city of Japan is ___.
factual_recall,fr2,fill_blank,lexical,casual,False,fill in: the capital city of japan is ___.
factual_recall,fr2,fill_blank,lexical,instruction,False,Complete: The capital city of Japan is ___.
factual_recall,fr2,fill_blank,syntactic,formal,False,Could you complete the following: Japan's capital city is ___.
factual_recall,fr2,fill_blank,syntactic,casual,False,fill in: japan's capital city is ___.
factual_recall,fr2,fill_blank,syntactic,instruction,False,Complete: Japan's capital city is ___.
factual_recall,fr2,multi_turn,canonical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying Asian geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: What is the capital of Japan?""}]"
factual_recall,fr2,multi_turn,canonical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying Asian geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""what is the capital of japan""}]"
factual_recall,fr2,multi_turn,canonical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying Asian geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Identify the capital of Japan.""}]"
factual_recall,fr2,multi_turn,lexical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying Asian geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: What is the capital city of Japan?""}]"
factual_recall,fr2,multi_turn,lexical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying Asian geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""what is the capital city of japan""}]"
factual_recall,fr2,multi_turn,lexical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying Asian geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Identify the capital city of Japan.""}]"
factual_recall,fr2,multi_turn,syntactic,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying Asian geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: Japan's capital is which city?""}]"
factual_recall,fr2,multi_turn,syntactic,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying Asian geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""japan's capital is which city""}]"
factual_recall,fr2,multi_turn,syntactic,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying Asian geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Identify the city that serves as Japan's capital.""}]"
factual_recall,fr3,direct_question,canonical,formal,False,Could you please tell me: Who wrote the play Hamlet?
factual_recall,fr3,direct_question,canonical,casual,False,who wrote the play hamlet
factual_recall,fr3,direct_question,canonical,instruction,False,State the author of the play Hamlet.
factual_recall,fr3,direct_question,lexical,formal,False,Could you please tell me: Who authored the play Hamlet?
factual_recall,fr3,direct_question,lexical,casual,False,who authored the play hamlet
factual_recall,fr3,direct_question,lexical,instruction,False,State the person who authored the play Hamlet.
factual_recall,fr3,direct_question,syntactic,formal,False,Could you please tell me: The play Hamlet was written by whom?
factual_recall,fr3,direct_question,syntactic,casual,False,the play hamlet was written by whom
factual_recall,fr3,direct_question,syntactic,instruction,False,Name the writer responsible for the play Hamlet.
factual_recall,fr3,fill_blank,canonical,formal,False,Could you complete the following: The play Hamlet was written by ___.
factual_recall,fr3,fill_blank,canonical,casual,False,fill in: the play hamlet was written by ___.
factual_recall,fr3,fill_blank,canonical,instruction,False,Complete: The play Hamlet was written by ___.
factual_recall,fr3,fill_blank,lexical,formal,False,Could you complete the following: The play Hamlet was authored by ___.
factual_recall,fr3,fill_blank,lexical,casual,False,fill in: the play hamlet was authored by ___.
factual_recall,fr3,fill_blank,lexical,instruction,False,Complete: The play Hamlet was authored by ___.
factual_recall,fr3,fill_blank,syntactic,formal,False,Could you complete the following: The writer of the play Hamlet was ___.
factual_recall,fr3,fill_blank,syntactic,casual,False,fill in: the writer of the play hamlet was ___.
factual_recall,fr3,fill_blank,syntactic,instruction,False,Complete: The writer of the play Hamlet was ___.
factual_recall,fr3,multi_turn,canonical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying English literature.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: Who wrote the play Hamlet?""}]"
factual_recall,fr3,multi_turn,canonical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying English literature.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""who wrote the play hamlet""}]"
factual_recall,fr3,multi_turn,canonical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying English literature.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""State the author of the play Hamlet.""}]"
factual_recall,fr3,multi_turn,lexical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying English literature.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: Who authored the play Hamlet?""}]"
factual_recall,fr3,multi_turn,lexical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying English literature.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""who authored the play hamlet""}]"
factual_recall,fr3,multi_turn,lexical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying English literature.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""State the person who authored the play Hamlet.""}]"
factual_recall,fr3,multi_turn,syntactic,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying English literature.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: The play Hamlet was written by whom?""}]"
factual_recall,fr3,multi_turn,syntactic,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying English literature.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""the play hamlet was written by whom""}]"
factual_recall,fr3,multi_turn,syntactic,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying English literature.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Name the writer responsible for the play Hamlet.""}]"
factual_recall,fr4,direct_question,canonical,formal,False,Could you please tell me: What is the chemical symbol for gold?
factual_recall,fr4,direct_question,canonical,casual,False,what is the chemical symbol for gold
factual_recall,fr4,direct_question,canonical,instruction,False,Provide the chemical symbol for gold.
factual_recall,fr4,direct_question,lexical,formal,False,Could you please tell me: What is the chemical symbol for the element gold?
factual_recall,fr4,direct_question,lexical,casual,False,what is the chemical symbol for the element gold
factual_recall,fr4,direct_question,lexical,instruction,False,Provide the chemical symbol for the element gold.
factual_recall,fr4,direct_question,syntactic,formal,False,Could you please tell me: Gold's chemical symbol is what?
factual_recall,fr4,direct_question,syntactic,casual,False,gold's chemical symbol is what
factual_recall,fr4,direct_question,syntactic,instruction,False,Give the symbol used in chemistry for gold.
factual_recall,fr4,fill_blank,canonical,formal,False,Could you complete the following: The chemical symbol for gold is ___.
factual_recall,fr4,fill_blank,canonical,casual,False,fill in: the chemical symbol for gold is ___.
factual_recall,fr4,fill_blank,canonical,instruction,False,Complete: The chemical symbol for gold is ___.
factual_recall,fr4,fill_blank,lexical,formal,False,Could you complete the following: The chemical symbol for the element gold is ___.
factual_recall,fr4,fill_blank,lexical,casual,False,fill in: the chemical symbol for the element gold is ___.
factual_recall,fr4,fill_blank,lexical,instruction,False,Complete: The chemical symbol for the element gold is ___.
factual_recall,fr4,fill_blank,syntactic,formal,False,Could you complete the following: Gold's chemical symbol is ___.
factual_recall,fr4,fill_blank,syntactic,casual,False,fill in: gold's chemical symbol is ___.
factual_recall,fr4,fill_blank,syntactic,instruction,False,Complete: Gold's chemical symbol is ___.
factual_recall,fr4,multi_turn,canonical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying chemistry.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: What is the chemical symbol for gold?""}]"
factual_recall,fr4,multi_turn,canonical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying chemistry.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""what is the chemical symbol for gold""}]"
factual_recall,fr4,multi_turn,canonical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying chemistry.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Provide the chemical symbol for gold.""}]"
factual_recall,fr4,multi_turn,lexical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying chemistry.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: What is the chemical symbol for the element gold?""}]"
factual_recall,fr4,multi_turn,lexical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying chemistry.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""what is the chemical symbol for the element gold""}]"
factual_recall,fr4,multi_turn,lexical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying chemistry.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Provide the chemical symbol for the element gold.""}]"
factual_recall,fr4,multi_turn,syntactic,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying chemistry.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: Gold's chemical symbol is what?""}]"
factual_recall,fr4,multi_turn,syntactic,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying chemistry.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""gold's chemical symbol is what""}]"
factual_recall,fr4,multi_turn,syntactic,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying chemistry.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Give the symbol used in chemistry for gold.""}]"
factual_recall,fr5,direct_question,canonical,formal,False,Could you please tell me: Who painted the Mona Lisa?
factual_recall,fr5,direct_question,canonical,casual,False,who painted the mona lisa
factual_recall,fr5,direct_question,canonical,instruction,False,Name the painter of the Mona Lisa.
factual_recall,fr5,direct_question,lexical,formal,False,Could you please tell me: Who created the painting Mona Lisa?
factual_recall,fr5,direct_question,lexical,casual,False,who created the painting mona lisa
factual_recall,fr5,direct_question,lexical,instruction,False,Name the creator of the painting Mona Lisa.
factual_recall,fr5,direct_question,syntactic,formal,False,Could you please tell me: The Mona Lisa was painted by whom?
factual_recall,fr5,direct_question,syntactic,casual,False,the mona lisa was painted by whom
factual_recall,fr5,direct_question,syntactic,instruction,False,Identify the artist responsible for the Mona Lisa.
factual_recall,fr5,fill_blank,canonical,formal,False,Could you complete the following: The Mona Lisa was painted by ___.
factual_recall,fr5,fill_blank,canonical,casual,False,fill in: the mona lisa was painted by ___.
factual_recall,fr5,fill_blank,canonical,instruction,False,Complete: The Mona Lisa was painted by ___.
factual_recall,fr5,fill_blank,lexical,formal,False,Could you complete the following: The painting Mona Lisa was created by ___.
factual_recall,fr5,fill_blank,lexical,casual,False,fill in: the painting mona lisa was created by ___.
factual_recall,fr5,fill_blank,lexical,instruction,False,Complete: The painting Mona Lisa was created by ___.
factual_recall,fr5,fill_blank,syntactic,formal,False,Could you complete the following: The painter of the Mona Lisa was ___.
factual_recall,fr5,fill_blank,syntactic,casual,False,fill in: the painter of the mona lisa was ___.
factual_recall,fr5,fill_blank,syntactic,instruction,False,Complete: The painter of the Mona Lisa was ___.
factual_recall,fr5,multi_turn,canonical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying art history.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: Who painted the Mona Lisa?""}]"
factual_recall,fr5,multi_turn,canonical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying art history.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""who painted the mona lisa""}]"
factual_recall,fr5,multi_turn,canonical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying art history.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Name the painter of the Mona Lisa.""}]"
factual_recall,fr5,multi_turn,lexical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying art history.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: Who created the painting Mona Lisa?""}]"
factual_recall,fr5,multi_turn,lexical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying art history.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""who created the painting mona lisa""}]"
factual_recall,fr5,multi_turn,lexical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying art history.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Name the creator of the painting Mona Lisa.""}]"
factual_recall,fr5,multi_turn,syntactic,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying art history.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: The Mona Lisa was painted by whom?""}]"
factual_recall,fr5,multi_turn,syntactic,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying art history.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""the mona lisa was painted by whom""}]"
factual_recall,fr5,multi_turn,syntactic,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying art history.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Identify the artist responsible for the Mona Lisa.""}]"
arithmetic,ar1,direct_question,canonical,formal,False,Could you please tell me: What is 23 plus 19?
arithmetic,ar1,direct_question,canonical,casual,False,what is 23 plus 19
arithmetic,ar1,direct_question,canonical,instruction,False,Compute 23 plus 19.
arithmetic,ar1,direct_question,lexical,formal,False,Could you please tell me: What is the sum of 23 and 19?
arithmetic,ar1,direct_question,lexical,casual,False,what is the sum of 23 and 19
arithmetic,ar1,direct_question,lexical,instruction,False,Compute the sum of 23 and 19.
arithmetic,ar1,direct_question,syntactic,formal,False,Could you please tell me: 23 plus 19 equals what?
arithmetic,ar1,direct_question,syntactic,casual,False,23 plus 19 equals what
arithmetic,ar1,direct_question,syntactic,instruction,False,Calculate the value of 23 added to 19.
arithmetic,ar1,fill_blank,canonical,formal,False,Could you complete the following: 23 plus 19 equals ___.
arithmetic,ar1,fill_blank,canonical,casual,False,fill in: 23 plus 19 equals ___.
arithmetic,ar1,fill_blank,canonical,instruction,False,Complete: 23 plus 19 equals ___.
arithmetic,ar1,fill_blank,lexical,formal,False,Could you complete the following: The sum of 23 and 19 is ___.
arithmetic,ar1,fill_blank,lexical,casual,False,fill in: the sum of 23 and 19 is ___.
arithmetic,ar1,fill_blank,lexical,instruction,False,Complete: The sum of 23 and 19 is ___.
arithmetic,ar1,fill_blank,syntactic,formal,False,Could you complete the following: Adding 23 and 19 gives ___.
arithmetic,ar1,fill_blank,syntactic,casual,False,fill in: adding 23 and 19 gives ___.
arithmetic,ar1,fill_blank,syntactic,instruction,False,Complete: Adding 23 and 19 gives ___.
arithmetic,ar1,multi_turn,canonical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying basic addition.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: What is 23 plus 19?""}]"
arithmetic,ar1,multi_turn,canonical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying basic addition.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""what is 23 plus 19""}]"
arithmetic,ar1,multi_turn,canonical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying basic addition.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Compute 23 plus 19.""}]"
arithmetic,ar1,multi_turn,lexical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying basic addition.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: What is the sum of 23 and 19?""}]"
arithmetic,ar1,multi_turn,lexical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying basic addition.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""what is the sum of 23 and 19""}]"
arithmetic,ar1,multi_turn,lexical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying basic addition.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Compute the sum of 23 and 19.""}]"
arithmetic,ar1,multi_turn,syntactic,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying basic addition.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: 23 plus 19 equals what?""}]"
arithmetic,ar1,multi_turn,syntactic,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying basic addition.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""23 plus 19 equals what""}]"
arithmetic,ar1,multi_turn,syntactic,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying basic addition.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Calculate the value of 23 added to 19.""}]"
arithmetic,ar2,direct_question,canonical,formal,False,Could you please tell me: What is 47 minus 18?
arithmetic,ar2,direct_question,canonical,casual,False,what is 47 minus 18
arithmetic,ar2,direct_question,canonical,instruction,False,Compute 47 minus 18.
arithmetic,ar2,direct_question,lexical,formal,False,Could you please tell me: What is the difference of 47 and 18?
arithmetic,ar2,direct_question,lexical,casual,False,what is the difference of 47 and 18
arithmetic,ar2,direct_question,lexical,instruction,False,Compute the difference of 47 and 18.
arithmetic,ar2,direct_question,syntactic,formal,False,Could you please tell me: 47 minus 18 equals what?
arithmetic,ar2,direct_question,syntactic,casual,False,47 minus 18 equals what
arithmetic,ar2,direct_question,syntactic,instruction,False,Calculate the value of 47 reduced by 18.
arithmetic,ar2,fill_blank,canonical,formal,False,Could you complete the following: 47 minus 18 equals ___.
arithmetic,ar2,fill_blank,canonical,casual,False,fill in: 47 minus 18 equals ___.
arithmetic,ar2,fill_blank,canonical,instruction,False,Complete: 47 minus 18 equals ___.
arithmetic,ar2,fill_blank,lexical,formal,False,Could you complete the following: The difference of 47 and 18 is ___.
arithmetic,ar2,fill_blank,lexical,casual,False,fill in: the difference of 47 and 18 is ___.
arithmetic,ar2,fill_blank,lexical,instruction,False,Complete: The difference of 47 and 18 is ___.
arithmetic,ar2,fill_blank,syntactic,formal,False,Could you complete the following: Subtracting 18 from 47 gives ___.
arithmetic,ar2,fill_blank,syntactic,casual,False,fill in: subtracting 18 from 47 gives ___.
arithmetic,ar2,fill_blank,syntactic,instruction,False,Complete: Subtracting 18 from 47 gives ___.
arithmetic,ar2,multi_turn,canonical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying basic subtraction.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: What is 47 minus 18?""}]"
arithmetic,ar2,multi_turn,canonical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying basic subtraction.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""what is 47 minus 18""}]"
arithmetic,ar2,multi_turn,canonical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying basic subtraction.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Compute 47 minus 18.""}]"
arithmetic,ar2,multi_turn,lexical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying basic subtraction.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: What is the difference of 47 and 18?""}]"
arithmetic,ar2,multi_turn,lexical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying basic subtraction.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""what is the difference of 47 and 18""}]"
arithmetic,ar2,multi_turn,lexical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying basic subtraction.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Compute the difference of 47 and 18.""}]"
arithmetic,ar2,multi_turn,syntactic,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying basic subtraction.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: 47 minus 18 equals what?""}]"
arithmetic,ar2,multi_turn,syntactic,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying basic subtraction.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""47 minus 18 equals what""}]"
arithmetic,ar2,multi_turn,syntactic,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying basic subtraction.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Calculate the value of 47 reduced by 18.""}]"
arithmetic,ar3,direct_question,canonical,formal,False,Could you please tell me: What is 8 times 7?
arithmetic,ar3,direct_question,canonical,casual,False,what is 8 times 7
arithmetic,ar3,direct_question,canonical,instruction,False,Compute 8 times 7.
arithmetic,ar3,direct_question,lexical,formal,False,Could you please tell me: What is the product of 8 and 7?
arithmetic,ar3,direct_question,lexical,casual,False,what is the product of 8 and 7
arithmetic,ar3,direct_question,lexical,instruction,False,Compute the product of 8 and 7.
arithmetic,ar3,direct_question,syntactic,formal,False,Could you please tell me: 8 times 7 equals what?
arithmetic,ar3,direct_question,syntactic,casual,False,8 times 7 equals what
arithmetic,ar3,direct_question,syntactic,instruction,False,Calculate the value of 8 multiplied by 7.
arithmetic,ar3,fill_blank,canonical,formal,False,Could you complete the following: 8 times 7 equals ___.
